"invoice.identifier", "invoice.effective_date", "invoice.vendor", "invoice.subtotal_amount", "invoice.tax", "invoice.total_amount", "item.item_id", "item.resource_id", "item.unit_amount", "item.units", "item.total_amount", "item.currency", "item.start_date", "item.end_date"
"WE666184", "2017-05-10", "OVH.com", "", "0.0", "409.36", "", "ns541435.ip-144-217-253.net", "0.3666666666666666666666666667", "1", "0.3666666666666666666666666667", "USD", "2017-05-26 00:00:00", "2017-05-27 00:00:00"
"WE666184", "2017-05-10", "OVH.com", "", "0.0", "409.36", "", "ns541435.ip-144-217-253.net", "0.3666666666666666666666666667", "1", "0.3666666666666666666666666667", "USD", "2017-05-27 00:00:00", "2017-05-28 00:00:00"
"WE666184", "2017-05-10", "OVH.com", "", "0.0", "409.36", "", "ns541435.ip-144-217-253.net", "0.3666666666666666666666666667", "1", "0.3666666666666666666666666667", "USD", "2017-05-28 00:00:00", "2017-05-29 00:00:00"
"WE666184", "2017-05-10", "OVH.com", "", "0.0", "409.36", "", "ns541435.ip-144-217-253.net", "0.3666666666666666666666666667", "1", "0.3666666666666666666666666667", "USD", "2017-05-29 00:00:00", "2017-05-30 00:00:00"
"WE666184", "2017-05-10", "OVH.com", "", "0.0", "409.36", "", "ns541435.ip-144-217-253.net", "0.3666666666666666666666666667", "1", "0.3666666666666666666666666667", "USD", "2017-05-30 00:00:00", "2017-05-31 00:00:00"
"WE666184", "2017-05-10", "OVH.com", "", "0.0", "409.36", "", "ns541435.ip-144-217-253.net", "0.3666666666666666666666666667", "1", "0.3666666666666666666666666667", "USD", "2017-05-31 00:00:00", "2017-06-01 00:00:00"
"WE666184", "2017-05-10", "OVH.com", "", "0.0", "409.36", "", "ns541435.ip-144-217-253.net", "0.3666666666666666666666666667", "1", "0.3666666666666666666666666667", "USD", "2017-06-01 00:00:00", "2017-06-02 00:00:00"
"WE666184", "2017-05-10", "OVH.com", "", "0.0", "409.36", "", "ns541435.ip-144-217-253.net", "0.3666666666666666666666666667", "1", "0.3666666666666666666666666667", "USD", "2017-06-02 00:00:00", "2017-06-03 00:00:00"
"WE666184", "2017-05-10", "OVH.com", "", "0.0", "409.36", "", "ns541435.ip-144-217-253.net", "0.3666666666666666666666666667", "1", "0.3666666666666666666666666667", "USD", "2017-06-03 00:00:00", "2017-06-04 00:00:00"
"WE666184", "2017-05-10", "OVH.com", "", "0.0", "409.36", "", "ns541435.ip-144-217-253.net", "0.3666666666666666666666666667", "1", "0.3666666666666666666666666667", "USD", "2017-06-04 00:00:00", "2017-06-05 00:00:00"
