"invoice.identifier", "invoice.effective_date", "invoice.vendor", "invoice.subtotal_amount", "invoice.tax", "invoice.total_amount", "item.item_id", "item.resource_id", "item.unit_amount", "item.units", "item.total_amount", "item.currency", "item.start_date", "item.end_date"
"WE666184", "05-10-2017", "OVH.com", "", "0.0", "409.36", "", "ns511585.ip-167-114-116.net", "65.40", "1", "65.40", "USD", "05-25-2017", "06-24-2017"
"WE666184", "05-10-2017", "OVH.com", "", "0.0", "409.36", "", "ns541435.ip-144-217-253.net", "74.99", "1", "74.99", "USD", "05-25-2017", "06-24-2017"
"WE666184", "05-10-2017", "OVH.com", "", "0.0", "409.36", "", "ns541435.ip-144-217-253.net", "11.00", "1", "11.00", "USD", "05-25-2017", "06-24-2017"
"WE666184", "05-10-2017", "OVH.com", "", "0.0", "409.36", "", "ns54143 6.ip-144-217-253.net", "74.99", "1", "74.99", "USD", "05-25-2017", "06-24-2017"
"WE666184", "05-10-2017", "OVH.com", "", "0.0", "409.36", "", "ns54143 6.ip-144-217-253.net", "11.00", "1", "11.00", "USD", "05-25-2017", "06-24-2017"
"WE666184", "05-10-2017", "OVH.com", "", "0.0", "409.36", "", "ns541437.ip-144-217-253.net", "74.99", "1", "74.99", "USD", "05-25-2017", "06-24-2017"
"WE666184", "05-10-2017", "OVH.com", "", "0.0", "409.36", "", "ns541437.ip-144-217-253.net", "11.00", "1", "11.00", "USD", "05-25-2017", "06-24-2017"
"WE666184", "05-10-2017", "OVH.com", "", "0.0", "409.36", "", "ns541440.ip-144-217-253.net", "", "1", "74.99", "USD", "05-25-2017", "06-24-2017"
"WE666184", "05-10-2017", "OVH.com", "", "0.0", "409.36", "", "ns541440.ip-144-217-253.net", "11.00", "1", "11.00", "USD", "05-25-2017", "06-24-2017"
